method,masking_rate,rmse
mean,0.1,15656.873266650297
median,0.1,15706.298466375978
knn,0.1,16536.499903278178
missforest,0.1,9229.946573109224
mean,0.2,13893.058193729952
median,0.2,13951.96975630847
knn,0.2,14908.100340490018
missforest,0.2,11136.521162591253
mean,0.3,11951.449202308431
median,0.3,12016.285833440017
knn,0.3,14519.487019120093
missforest,0.3,17317.636787563744
